,Are you self-employed?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have previous employers?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?,Which of the following best describes your work position?,Do you work remotely?,company_size,age_class
626,0,1.0,1.0,No,I am not sure,No,No,No,4,Maybe,No,Maybe,Maybe,I don't know,No,1,Maybe,Maybe,Maybe,"Yes, they do",Somewhat open,Yes,Maybe,No,Yes,Yes,Yes,1,Rarely,Often,29,Male,United Kingdom,,United Kingdom,,DevOps/SysAdmin,Never,2,2
627,0,1.0,1.0,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,2,No,No,Maybe,Maybe,I don't know,No,1,Yes,No,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,29,Male,United Kingdom,,United Kingdom,,Back-end Developer,Never,2,2
628,0,1.0,1.0,Yes,I am not sure,No,Yes,I don't know,4,Maybe,No,Maybe,Maybe,I don't know,No,1,No,No,Maybe,Maybe,Somewhat not open,Maybe,Yes,I don't know,Maybe,Yes,Yes,0,Not applicable to me,Rarely,42,Male,United States of America,New Hampshire,United States of America,Massachusetts,Supervisor/Team Lead,Sometimes,6,4
629,0,1.0,1.0,Yes,I am not sure,No,No,I don't know,4,Maybe,No,No,Maybe,I don't know,No,1,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,No,Maybe,Yes,Yes,No,No,0,Not applicable to me,Sometimes,26,Female,United States of America,Illinois,United States of America,Illinois,Full track,Always,2,2
630,0,1.0,1.0,I don't know,I am not sure,Yes,Yes,I don't know,1,No,No,Yes,Yes,Yes,No,1,Maybe,Maybe,Maybe,Maybe,Somewhat open,Yes,Maybe,Yes,Yes,No,Yes,1,Rarely,Often,26,Male,Switzerland,,Switzerland,,Front-end Developer|Back-end Developer|DevOps/SysAdmin,Sometimes,2,2
632,0,0.0,0.0,Yes,Yes,Yes,No,Yes,4,Maybe,Maybe,No,Maybe,Yes,No,1,Yes,No,Maybe,"Yes, I think they would",Somewhat open,Maybe,Maybe,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,24,Male,United States of America,Kansas,United States of America,Kansas,Other,Sometimes,4,2
633,0,0.0,0.0,Yes,No,Yes,Yes,Yes,4,Yes,Maybe,No,No,Yes,No,1,Maybe,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe,No,No,No,No,No,0,Not applicable to me,Not applicable to me,25,Male,United States of America,Kansas,United States of America,Kansas,Other,Never,6,2
634,0,1.0,1.0,Yes,Yes,No,No,I don't know,1,No,No,Maybe,Yes,Yes,No,1,Yes,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,22,Male,United States of America,Kansas,United States of America,Kansas,Back-end Developer,Sometimes,2,2
635,0,1.0,1.0,Yes,I am not sure,No,I don't know,Yes,3,Maybe,No,Maybe,Maybe,No,No,1,Yes,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,No,Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Often,33,Male,United States of America,Illinois,United States of America,Illinois,DevOps/SysAdmin|Support|Back-end Developer,Sometimes,4,3
636,0,1.0,1.0,Yes,No,No,Yes,I don't know,1,No,No,Maybe,Yes,Yes,No,1,Yes,Yes,"Yes, I think it would","No, I don't think they would",Very open,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,53,Male,United States of America,Arizona,United States of America,Arizona,Executive Leadership,Always,3,5
637,0,1.0,1.0,Yes,Yes,No,No,I don't know,2,Maybe,No,Maybe,Yes,No,No,1,No,Maybe,"Yes, I think it would","No, I don't think they would",Very open,Yes,Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Often,32,Male,Canada,,Canada,,Back-end Developer,Never,3,3
638,0,1.0,1.0,No,I am not sure,No,No,I don't know,3,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,No,No,"Yes, I think it would","Yes, I think they would",Very open,Yes,Maybe,No,Yes,No,Yes,1,Sometimes,Not applicable to me,32,Male,United States of America,Minnesota,United States of America,Minnesota,Executive Leadership,Sometimes,2,3
640,0,1.0,1.0,I don't know,No,No,No,Yes,4,Maybe,No,Maybe,No,I don't know,No,1,Yes,Yes,"Yes, I think it would",Maybe,Somewhat open,Maybe,No,No,No,No,No,1,Not applicable to me,Not applicable to me,27,Male,France,,France,,Back-end Developer|DevOps/SysAdmin,Never,2,2
641,0,1.0,1.0,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,2,Maybe,Maybe,Maybe,Maybe,Yes,No,1,Yes,No,Maybe,Maybe,Somewhat not open,Maybe,No,I don't know,Maybe,No,No,0,Sometimes,Sometimes,34,Male,United Kingdom,,United Kingdom,,Back-end Developer|Supervisor/Team Lead,Always,2,3
642,0,1.0,1.0,No,I am not sure,No,No,Yes,4,Maybe,Maybe,Yes,Maybe,I don't know,No,1,No,No,"Yes, I think it would","No, I don't think they would",Somewhat open,No,Maybe,Yes,Yes,Yes,Yes,1,Never,Sometimes,26,Male,United States of America,Colorado,United States of America,Colorado,DevOps/SysAdmin,Sometimes,2,2
643,0,1.0,1.0,I don't know,No,No,No,I don't know,2,Maybe,No,Maybe,Yes,I don't know,No,1,No,No,"Yes, I think it would","Yes, they do",Very open,Yes,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,25,Male,United States of America,Oregon,United States of America,Oregon,Other,Never,3,2
644,0,1.0,1.0,Yes,Yes,Yes,Yes,I don't know,4,Maybe,No,Yes,Yes,Yes,No,1,Maybe,Maybe,"No, it has not","No, I don't think they would",Somewhat open,No,Maybe,Yes,Yes,Maybe,Yes,1,Never,Sometimes,39,Male,United Kingdom,,United Kingdom,,Front-end Developer|Back-end Developer|Supervisor/Team Lead,Sometimes,6,3
645,0,1.0,1.0,I don't know,I am not sure,Yes,I don't know,I don't know,2,No,No,No,Yes,I don't know,No,1,No,No,"Yes, I think it would","No, I don't think they would",Somewhat open,No,Maybe,No,Maybe,Maybe,No,1,Not applicable to me,Often,32,Male,United States of America,Kansas,United States of America,Kansas,Back-end Developer,Never,3,3
648,0,1.0,1.0,I don't know,No,Yes,Yes,I don't know,0,Yes,Maybe,No,Maybe,No,No,1,No,No,"Yes, I think it would","Yes, I think they would",Not open at all,Maybe,Maybe,Yes,Yes,Maybe,Yes,1,Not applicable to me,Often,33,Genderqueer/Other,United Kingdom,,United Kingdom,,Other|Supervisor/Team Lead|Dev Evangelist/Advocate|DevOps/SysAdmin|Support|Back-end Developer,Never,5,3
649,0,1.0,1.0,Yes,No,I don't know,I don't know,I don't know,0,Maybe,No,No,Maybe,I don't know,No,1,Maybe,No,"Yes, I think it would","Yes, I think they would",Not open at all,Maybe,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,58,Male,United States of America,Minnesota,United States of America,Minnesota,Back-end Developer,Sometimes,3,5
650,0,1.0,1.0,No,No,No,No,Yes,5,Yes,Yes,No,No,No,No,1,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe,Yes,No,No,Yes,Yes,1,Rarely,Often,30,Male,Canada,,Canada,,Front-end Developer|Designer,Never,2,3
652,0,0.0,0.0,I don't know,No,I don't know,I don't know,I don't know,0,Maybe,No,No,No,I don't know,No,1,No,No,Maybe,"No, I don't think they would",Somewhat not open,Maybe,Yes,Yes,Yes,Yes,Yes,0,Not applicable to me,Sometimes,45,Male,United States of America,Washington,United States of America,Washington,Front-end Developer,Sometimes,6,4
653,0,1.0,1.0,No,I am not sure,No,No,No,5,Yes,Yes,No,No,I don't know,No,1,Maybe,No,"Yes, I think it would","Yes, I think they would",Not open at all,Maybe,Maybe,Yes,Yes,No,Yes,1,Not applicable to me,Not applicable to me,26,Female,Canada,,Canada,,Front-end Developer,Sometimes,1,2
654,0,1.0,1.0,Yes,Yes,No,Yes,Yes,0,Yes,No,No,No,No,No,1,Yes,No,"Yes, I think it would",Maybe,Somewhat open,Maybe,Maybe,Yes,Maybe,Yes,Yes,1,Rarely,Often,22,Male,United States of America,Pennsylvania,United States of America,Pennsylvania,DevOps/SysAdmin|Support,Never,4,2
655,0,1.0,1.0,I don't know,I am not sure,No,I don't know,No,2,Yes,No,No,No,I don't know,No,0,Maybe,Yes,Maybe,"No, I don't think they would",Very open,No,Maybe,Yes,Maybe,No,No,0,Not applicable to me,Sometimes,21,Male,United States of America,Kansas,United States of America,Kansas,Back-end Developer,Sometimes,2,2
656,0,1.0,1.0,Yes,I am not sure,Yes,Yes,I don't know,2,Maybe,No,Maybe,Yes,I don't know,No,1,Maybe,No,Maybe,"No, I don't think they would",Somewhat open,Maybe,Maybe,I don't know,Yes,Maybe,Yes,1,Rarely,Sometimes,33,Male,Canada,,Canada,,Back-end Developer,Sometimes,6,3
657,0,0.0,0.0,I don't know,No,Yes,Yes,Yes,0,No,Maybe,No,Yes,Yes,No,1,Maybe,No,Maybe,Maybe,Somewhat open,Maybe,Yes,No,No,No,No,0,Not applicable to me,Not applicable to me,34,Male,United States of America,Kansas,United States of America,Kansas,Executive Leadership|Supervisor/Team Lead,Sometimes,5,3
658,0,1.0,1.0,I don't know,No,Yes,I don't know,I don't know,1,No,No,Maybe,Yes,Yes,No,1,No,No,Maybe,"No, I don't think they would",Somewhat not open,Maybe,No,No,No,No,No,0,Not applicable to me,Not applicable to me,25,Female,United States of America,Kansas,United States of America,Kansas,Back-end Developer,Sometimes,3,2
659,0,1.0,1.0,Yes,I am not sure,No,No,Yes,1,No,No,Maybe,Maybe,I don't know,No,1,Maybe,No,"Yes, it has",Maybe,Somewhat open,Yes,Maybe,Yes,Yes,Yes,Yes,1,Often,Often,27,Male,United States of America,Illinois,United States of America,Illinois,Executive Leadership|Supervisor/Team Lead|Sales,Sometimes,2,2
660,0,1.0,1.0,Yes,I am not sure,No,No,I don't know,3,Yes,No,No,No,No,Yes,1,No,No,"Yes, I think it would","Yes, I think they would",Not open at all,Yes,Yes,Yes,Yes,Yes,Yes,1,Never,Sometimes,25,Female,United States of America,Washington,United States of America,Washington,Back-end Developer,Never,3,2
661,0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,3,No,No,Yes,Maybe,I don't know,No,1,Maybe,Yes,"No, it has not","No, they do not",Somewhat open,Maybe,Maybe,I don't know,Maybe,Maybe,Yes,1,Never,Never,33,Male,United Kingdom,,United Kingdom,,Other|Front-end Developer|Designer,Sometimes,5,3
663,0,1.0,1.0,No,I am not sure,No,No,I don't know,2,Maybe,Maybe,Yes,No,I don't know,No,1,No,No,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),No,Maybe,Yes,No,No,No,0,Not applicable to me,Not applicable to me,36,Female,United States of America,Oklahoma,United States of America,Oklahoma,Other,Always,2,3
664,0,1.0,1.0,No,No,I don't know,I don't know,I don't know,3,Yes,Maybe,No,No,I don't know,No,1,No,No,Maybe,Maybe,Somewhat open,Maybe,Maybe,I don't know,Maybe,Maybe,No,1,Rarely,Rarely,26,Male,United Kingdom,,United Kingdom,,Back-end Developer,Never,2,2
665,0,1.0,1.0,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,3,No,No,Maybe,Maybe,I don't know,No,1,Yes,Yes,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe,No,I don't know,Maybe,Maybe,No,0,Not applicable to me,Sometimes,34,Male,United States of America,Minnesota,United States of America,Minnesota,Supervisor/Team Lead|Back-end Developer,Never,2,3
666,0,1.0,1.0,Yes,Yes,No,No,Yes,4,Yes,No,Maybe,Maybe,No,Yes,1,No,No,"Yes, it has","Yes, they do",Very open,Yes,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,34,Male,United States of America,Oklahoma,United States of America,Oklahoma,Full track,Sometimes,3,3
667,0,0.0,0.0,Yes,Yes,No,Yes,Yes,3,Maybe,No,Maybe,No,No,No,1,No,No,"No, I don't think it would","No, they do not",Very open,No,Maybe,I don't know,Maybe,Yes,Yes,1,Rarely,Often,25,Male,United States of America,Pennsylvania,United States of America,Pennsylvania,Full track,Sometimes,6,2
669,0,1.0,1.0,No,Yes,No,No,No,5,Maybe,No,Maybe,Maybe,I don't know,No,0,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,Maybe,Yes,No,No,No,0,Not applicable to me,Not applicable to me,27,Female,Canada,,Canada,,Front-end Developer,Sometimes,3,2
670,0,1.0,1.0,I don't know,I am not sure,No,No,I don't know,4,Maybe,Maybe,No,No,I don't know,Yes,1,Maybe,No,Maybe,Maybe,Somewhat open,Maybe,Yes,No,Maybe,No,No,1,Not applicable to me,Not applicable to me,24,Female,Canada,,Canada,,Designer|Front-end Developer,Never,3,2
671,0,0.0,0.0,Yes,I am not sure,No,I don't know,I don't know,4,Maybe,No,No,Maybe,I don't know,No,1,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,Maybe,Yes,Yes,No,Yes,1,Rarely,Sometimes,47,Female,United States of America,Washington,United States of America,Washington,DevOps/SysAdmin|One-person shop,Sometimes,6,4
672,0,1.0,1.0,Yes,I am not sure,No,Yes,Yes,2,No,No,Yes,Yes,Yes,No,1,Yes,Maybe,Maybe,Maybe,Somewhat open,Maybe,No,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,37,Male,United States of America,Indiana,United States of America,Indiana,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer,Sometimes,3,3
673,0,0.0,0.0,I don't know,No,No,I don't know,I don't know,3,Yes,Maybe,Maybe,Maybe,No,Yes,0,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Yes,Yes,I don't know,Yes,Yes,Yes,1,Never,Often,35,Genderqueer/Other,United States of America,Illinois,United States of America,Illinois,Designer|Front-end Developer|Back-end Developer|DevOps/SysAdmin|Other,Sometimes,6,3
674,0,0.0,0.0,Yes,Yes,No,No,Yes,5,Yes,No,No,No,I don't know,No,1,Maybe,No,"Yes, I think it would","Yes, I think they would",Not open at all,Maybe,Maybe,I don't know,Yes,Yes,Yes,1,Often,Often,30,Male,United States of America,Pennsylvania,United States of America,Pennsylvania,Support,Always,4,3
675,0,0.0,0.0,Yes,No,Yes,Yes,Yes,2,Maybe,No,No,Maybe,Yes,No,1,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Yes,Yes,No,No,No,No,0,Not applicable to me,Not applicable to me,42,Male,United States of America,Tennessee,United States of America,Tennessee,Other|Dev Evangelist/Advocate|Back-end Developer|Front-end Developer,Never,6,4
677,0,1.0,1.0,Yes,No,No,Yes,Yes,1,No,No,No,Yes,I don't know,No,1,No,No,Maybe,"No, I don't think they would",Somewhat open,Maybe,Maybe,I don't know,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,31,Male,United States of America,Pennsylvania,United States of America,Pennsylvania,Back-end Developer,Always,4,3
678,0,1.0,1.0,Yes,I am not sure,Yes,No,I don't know,2,Maybe,No,Maybe,Maybe,I don't know,No,1,Maybe,No,Maybe,"No, I don't think they would",Very open,Yes,Maybe,I don't know,Maybe,Maybe,Yes,0,Not applicable to me,Sometimes,28,Female,United States of America,Massachusetts,United States of America,Massachusetts,Full track,Always,4,2
679,0,0.0,0.0,Yes,Yes,Yes,Yes,Yes,3,Maybe,No,Yes,Yes,I don't know,Yes,1,Maybe,No,"Yes, it has","Yes, they do",Somewhat open,Yes,Maybe,I don't know,Yes,Yes,Yes,1,Sometimes,Often,36,Female,United States of America,Indiana,United States of America,Indiana,Other,Sometimes,3,3
680,0,1.0,1.0,Yes,Yes,No,No,Yes,4,Yes,No,Maybe,Maybe,I don't know,No,1,No,No,"Yes, it has",Maybe,Somewhat open,No,Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Often,36,Female,United States of America,Tennessee,United States of America,Tennessee,Other,Never,2,3
681,0,0.0,0.0,I don't know,No,No,No,I don't know,0,No,No,No,No,I don't know,No,1,Maybe,No,Maybe,"Yes, I think they would",Neutral,Maybe,Maybe,Yes,Maybe,Maybe,Yes,1,Rarely,Often,32,Male,Canada,,Canada,,Front-end Developer,Sometimes,3,3
683,0,1.0,1.0,Yes,No,No,No,I don't know,2,Maybe,No,No,Maybe,I don't know,No,1,Maybe,No,Maybe,Maybe,Neutral,Maybe,Maybe,No,Maybe,Maybe,No,0,Never,Sometimes,41,Female,United States of America,Colorado,United States of America,Colorado,Supervisor/Team Lead|Front-end Developer,Never,4,4
684,0,0.0,0.0,Yes,Yes,No,Yes,I don't know,2,No,No,Maybe,Maybe,Yes,No,1,Maybe,Maybe,"No, I don't think it would",Maybe,Somewhat not open,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,36,Male,Sweden,,Sweden,,Executive Leadership,Sometimes,3,3
685,0,1.0,1.0,Yes,Yes,Yes,Yes,I don't know,3,Yes,No,Maybe,No,Yes,No,1,No,No,Maybe,"No, I don't think they would",Very open,Maybe,Maybe,Yes,Yes,Yes,Yes,1,Not applicable to me,Often,23,Male,United States of America,Wisconsin,United States of America,Wisconsin,Back-end Developer,Sometimes,3,2
686,0,0.0,0.0,Yes,Yes,Yes,Yes,Yes,3,No,Maybe,Maybe,No,Yes,No,1,Maybe,No,Maybe,Maybe,Somewhat open,Maybe,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,54,Female,United States of America,Texas,United States of America,Texas,Other,Never,6,5
687,0,0.0,0.0,I don't know,I am not sure,Yes,Yes,Yes,3,Maybe,No,Yes,Maybe,I don't know,Yes,1,Maybe,Maybe,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),Maybe,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,34,Female,United States of America,Illinois,United States of America,Illinois,Other,Never,3,3
688,0,1.0,1.0,I don't know,No,No,No,I don't know,1,Yes,No,Yes,Yes,I don't know,No,1,No,No,"Yes, I think it would",Maybe,Very open,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,36,Male,Netherlands,,Netherlands,,Back-end Developer|DevOps/SysAdmin,Never,2,3
689,0,1.0,1.0,Yes,Yes,No,No,I don't know,3,Maybe,No,Maybe,Maybe,I don't know,No,1,No,No,Maybe,Maybe,Very open,Yes,Yes,Yes,No,No,No,0,Not applicable to me,Not applicable to me,27,Male,United States of America,Virginia,United States of America,Virginia,Front-end Developer,Never,1,2
690,0,1.0,1.0,Yes,Yes,No,I don't know,I don't know,2,Maybe,No,Maybe,Maybe,I don't know,No,1,Maybe,No,"Yes, I think it would","Yes, I think they would",Very open,Yes,Yes,Yes,Yes,Yes,Yes,1,Never,Never,32,Male,United States of America,Rhode Island,United States of America,Rhode Island,Designer,Always,4,3
691,0,1.0,1.0,Yes,Yes,No,No,No,5,Yes,Yes,Maybe,No,No,No,0,Maybe,Maybe,Maybe,Maybe,Not open at all,Maybe,Maybe,I don't know,Yes,Maybe,Yes,1,Sometimes,Sometimes,21,Male,Germany,,Germany,,Front-end Developer|Back-end Developer|DevOps/SysAdmin|Supervisor/Team Lead,Never,2,2
692,0,1.0,1.0,I don't know,No,Yes,Yes,Yes,2,No,No,Yes,Yes,Yes,No,1,Yes,Yes,Maybe,"No, I don't think they would",Somewhat open,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,44,Male,United States of America,Michigan,United States of America,Michigan,Other,Always,1,4
693,0,1.0,1.0,I don't know,I am not sure,I don't know,I don't know,I don't know,3,No,No,Maybe,Yes,Yes,No,1,No,No,Maybe,Maybe,Somewhat not open,No,Maybe,I don't know,Yes,Yes,No,0,Sometimes,Sometimes,33,Male,United States of America,Minnesota,United States of America,Minnesota,Supervisor/Team Lead|Back-end Developer,Always,3,3
694,0,1.0,1.0,Yes,No,No,I don't know,Yes,5,Maybe,No,No,No,No,Yes,1,Yes,No,"Yes, I think it would","Yes, I think they would",Not open at all,Yes,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,38,Male,United Kingdom,,United Kingdom,,Supervisor/Team Lead|Support,Sometimes,6,3
695,0,1.0,1.0,Yes,I am not sure,Yes,Yes,I don't know,0,Maybe,No,Maybe,Maybe,No,No,1,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Yes,Yes,Yes,Maybe,No,No,0,Sometimes,Sometimes,38,Male,Ireland,,Ireland,,DevOps/SysAdmin|Other,Sometimes,6,3
697,0,1.0,1.0,I don't know,No,No,I don't know,No,5,Maybe,Maybe,No,No,No,Yes,1,Maybe,Yes,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Yes,Yes,I don't know,No,No,No,1,Sometimes,Not applicable to me,22,Female,Brazil,,Brazil,,Other,Always,1,2
699,0,0.0,0.0,I don't know,No,No,No,I don't know,5,Maybe,Maybe,No,Yes,No,No,1,Maybe,Maybe,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Yes,Yes,Yes,No,No,No,0,Not applicable to me,Not applicable to me,27,Female,Canada,,Canada,,Front-end Developer,Never,6,2
701,0,0.0,0.0,No,No,No,No,I don't know,4,Maybe,No,Yes,No,I don't know,No,1,No,No,"Yes, I think it would",Maybe,Somewhat open,Maybe,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,66,Male,United States of America,Maine,United States of America,Maine,Front-end Developer,Sometimes,2,5
702,0,0.0,0.0,I don't know,I am not sure,No,No,I don't know,5,Maybe,Maybe,No,No,Yes,No,0,No,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Maybe,Maybe,Yes,Maybe,Maybe,No,1,Not applicable to me,Not applicable to me,25,Male,United States of America,New Jersey,United States of America,New Jersey,Back-end Developer|Support|DevOps/SysAdmin,Sometimes,1,2
703,0,1.0,1.0,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,3,Maybe,No,Maybe,Maybe,I don't know,No,1,Maybe,No,Maybe,Maybe,Neutral,Yes,Maybe,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,22,Male,Netherlands,,Netherlands,,Front-end Developer|Back-end Developer|DevOps/SysAdmin,Never,3,2
704,0,1.0,1.0,No,No,No,No,I don't know,2,No,No,Yes,Yes,No,No,1,Maybe,Maybe,"No, I don't think it would",Maybe,Somewhat not open,Maybe,Maybe,No,No,No,No,0,Sometimes,Often,29,Male,Brazil,,Brazil,,Front-end Developer,Sometimes,3,2
705,0,1.0,1.0,No,No,Yes,Yes,No,2,Yes,No,No,Yes,I don't know,Yes,1,No,Maybe,"Yes, it has","Yes, they do",Somewhat not open,Yes,Maybe,No,Yes,No,No,1,Sometimes,Sometimes,33,Male,New Zealand,,New Zealand,,Executive Leadership,Never,4,3
706,0,1.0,1.0,No,No,No,No,I don't know,4,Maybe,No,No,No,I don't know,No,1,Yes,No,"Yes, I think it would","Yes, I think they would",Not open at all,No,Maybe,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,27,Male,Sweden,,Sweden,,Front-end Developer|Back-end Developer|DevOps/SysAdmin,Never,2,2
707,0,1.0,1.0,I don't know,No,No,I don't know,I don't know,4,Yes,Maybe,No,Maybe,I don't know,No,1,Maybe,Maybe,"Yes, it has","Yes, they do",Somewhat not open,Maybe,Yes,I don't know,Yes,Maybe,Yes,1,Never,Sometimes,44,Male,United States of America,Tennessee,United States of America,Tennessee,Front-end Developer,Sometimes,2,4
709,0,0.0,0.0,I don't know,I am not sure,No,I don't know,I don't know,0,Maybe,No,No,No,I don't know,No,1,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,32,Male,United States of America,New Hampshire,United States of America,New Hampshire,Supervisor/Team Lead|Designer|Front-end Developer|Support,Always,2,3
710,0,0.0,0.0,Yes,I am not sure,Yes,Yes,No,5,Yes,No,Maybe,No,No,No,1,No,No,"Yes, I think it would","Yes, I think they would",Not open at all,Maybe,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,59,Female,United States of America,Ohio,United States of America,Ohio,Support,Never,5,5
713,0,1.0,1.0,Yes,Yes,I don't know,I don't know,I don't know,3,No,No,Yes,Yes,Yes,No,1,Yes,Yes,"No, I don't think it would","No, I don't think they would",Very open,No,Maybe,Yes,Yes,No,Yes,1,Sometimes,Sometimes,32,Male,United States of America,California,United States of America,California,Other,Always,6,3
714,0,0.0,0.0,Not eligible for coverage / N/A,I am not sure,No,Yes,I don't know,5,Yes,No,No,No,No,No,1,Maybe,Maybe,"Yes, I think it would","Yes, I think they would",Not open at all,Maybe,No,I don't know,No,Maybe,No,0,Not applicable to me,Not applicable to me,41,Male,United Kingdom,,United Kingdom,,Front-end Developer,Never,6,4
715,0,1.0,1.0,No,I am not sure,No,Yes,I don't know,1,No,No,Yes,Yes,Yes,No,0,Yes,Maybe,"Yes, I think it would",Maybe,Very open,No,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,38,Female,United States of America,Washington,United States of America,Washington,Full track,Always,1,3
717,0,0.0,0.0,No,No,Yes,Yes,Yes,4,No,No,Yes,Maybe,No,No,1,No,Maybe,"Yes, I think it would","No, I don't think they would",Somewhat open,Yes,Maybe,Yes,Yes,No,Yes,1,Rarely,Sometimes,43,Male,United Kingdom,,United Kingdom,,Supervisor/Team Lead,Never,6,4
718,0,1.0,1.0,Yes,Yes,No,Yes,Yes,1,No,No,Maybe,Yes,Yes,No,1,No,No,"No, I don't think it would","No, they do not",Somewhat not open,Yes,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,29,Female,United States of America,Pennsylvania,United States of America,Pennsylvania,Other,Always,4,2
720,0,1.0,1.0,I don't know,I am not sure,Yes,I don't know,I don't know,1,No,No,Yes,Maybe,I don't know,No,0,No,No,"Yes, I think it would","Yes, I think they would",Neutral,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,25,Female,United States of America,Colorado,United States of America,Colorado,Full track,Never,4,2
721,0,1.0,1.0,Yes,Yes,Yes,No,No,2,No,No,Maybe,Yes,Yes,No,1,No,No,"Yes, I think it would","Yes, they do",Neutral,Maybe,No,No,Yes,Yes,Yes,0,Sometimes,Often,49,Male,Afghanistan,,Afghanistan,,Executive Leadership|Supervisor/Team Lead|Designer,Never,3,4
